Date,open,high,low,close,volume,logret_1,overnight_ret,roc_5,rsi_14,macd_hist,atr_14_pct,vol_z_21,dist_sma20,roc_21,dist_sma50,dist_sma200,dist_sma400,bb_width_20_2,sma_slope_20,from_52w_high,from_52w_low,vol_ratio_21_252,vol_ratio_252_1260,trend_ok,drawdown_long,roc_1260,trend_slope_3y,from_ath,hv_yz_30_ext,hv_yz_270_ext,iv_atm_30_ext,iv_atm_90_ext,iv_atm_360_ext,iv_skew_30_ext,pc_ratio_oi_30_ext,pc_ratio_vol_30_ext,iv_ts_ratio_30_360,iv_minus_hv30,news_sent_mean,news_mean_w3,news_std_w3,news_mean_w21,news_std_w21,news_mean_w63,news_std_w63,news_mean_w126,news_std_w126
26-01-23,98.235,99.49,96.92,99.22,68523557,0.020774678,0.010797638,5.9137489,63.609343,0.96274288,3.3905125,-0.36185462,0.085231468,16.387097,0.086775556,-0.12513785,-0.29013198,25.734767,0.6362,-0.41399167,0.21266194,0.73829894,1.3971994,0,-0.56145264,46.179402,-0.000207344,-0.46819031,0.3954,0.5045,0.4738,0.387,0.3701,5.33,0.51,1.14,1.280194542,0.0784,0,0,0,-0.380952381,1.326513169,-0.492063492,1.96697347,-0.39418254,2.26911423
27-01-23,99.53,103.485,99.53,102.24,87775614,0.029983384,0.003119499,5.1311054,67.793978,1.082338,3.3533049,1.1099628,0.10591302,23.121387,0.118935,-0.096562344,-0.26763688,25.519553,0.75115,-0.3961551,0.24957223,0.71108676,1.399064,0,-0.56145264,48.394354,-0.000214885,-0.4520034,0.3989,0.5029,0.4783,0.3901,0.3662,4.85,0.54,1.11,1.306116876,0.0794,0,0,0,-0.380952381,1.326513169,-0.492063492,1.96697347,-0.362436508,2.246311402
30-01-23,101.09,101.74,99.01,100.55,70691860,-0.016667874,-0.011311781,3.107055,63.400345,0.97816132,3.3955705,-0.37265581,0.078087641,22.891714,0.10005164,-0.10951941,-0.27881737,25.000608,0.832,-0.40613649,0.22891714,0.71414235,1.399597,0,-0.56145264,43.43283,-0.000222577,-0.46106164,0.4083,0.5009,0.5012,0.4064,0.3722,4.52,0.58,0.53,1.346587856,0.0929,0,0,0,-0.380952381,1.326513169,-0.492063492,1.96697347,-0.357142857,2.246373355
31-01-23,101.155,103.3484,101.14,103.13,66527253,0.025335212,0.005998878,7.0701827,66.924513,1.0094619,3.2679697,-0.83636206,0.094525251,22.511285,0.12679596,-0.084546112,-0.25939265,24.62094,0.90495,-0.39089862,0.26044977,0.71087719,1.398192,0,-0.56145264,45.491225,-0.000229934,-0.44723308,0.399,0.4991,0.4902,0.4027,0.3704,4.32,0.53,0.73,1.323434125,0.0912,0,0,0,-0.380952381,1.326513169,-0.428571429,1.916629695,-0.357142857,2.246373355
01-02-23,102.53,106.24,101.24,105.15,80450121,0.019397574,-0.00583489,8.201276,69.408221,1.0859975,3.3158986,0.39084589,0.10463284,25.178571,0.14628642,-0.064682498,-0.24397896,24.90998,0.93,-0.3789682,0.28513811,0.71012498,1.3948815,0,-0.56145264,46.263093,-0.000236342,-0.43640608,0.4018,0.4989,0.4305,0.3964,0.3691,20.1,0.53,0.4,1.166350582,0.0287,0,0,0,-0.380952381,1.326513169,-0.428571429,1.916629695,-0.357142857,2.246373355
02-02-23,110.245,114,108.88,112.91,158154240,0.071203139,0.04731726,13.797621,76.659309,1.5507116,3.4272983,3.772511,0.16910078,31.566069,0.22586487,0.006127635,-0.18732707,27.430021,1.0183,-0.33313646,0.37998044,0.81348323,1.4036234,1,-0.56145264,55.642399,-0.000242028,-0.39481322,0.4325,0.5016,0.5503,0.4293,0.3715,-3.59,0.53,0.5,1.481292059,0.1178,0,0,0,-0.380952381,1.326513169,-0.428571429,1.916629695,-0.333333333,2.234100398
03-02-23,105.26,108.78,102.52,103.39,144374830,-0.088082796,-0.070157561,1.1248044,58.377992,1.1280638,4.1933396,2.4466771,0.059410607,21.435283,0.11984836,-0.076452106,-0.25488007,24.625823,1.1005,-0.38936302,0.26362747,1.045527,1.4175892,0,-0.56145264,48.76259,-0.000248405,-0.44583951,0.5111,0.5075,0.3703,0.3647,0.3662,2.46,0.62,0.43,1.011196068,-0.1408,-5,-1.666666667,2.357022604,-0.619047619,1.646820616,-0.507936508,1.998991935,-0.373015873,2.271912753
06-02-23,102.925,103.9484,100.65,102.18,81945199,-0.011772282,-0.004507678,1.621084,56.532658,0.6991443,4.1704988,-0.10578132,0.038446294,22.930703,0.10459372,-0.085143316,-0.26251605,22.220028,1.0749,-0.39650946,0.24883891,1.0426491,1.4013018,0,-0.56145264,42.914088,-0.000254956,-0.45232499,0.5131,0.5031,0.3809,0.3831,0.3686,2.6,0.64,0.65,1.033369506,-0.1322,2.5,-0.833333333,3.118047822,-0.404761905,1.743143354,-0.468253968,2.033202603,-0.353174603,2.285956971
07-02-23,101.17,102.41,98.08,102.11,119501300,-0.0006853,-0.009933694,-0.98904296,56.421544,0.35993717,4.1781555,1.2973895,0.030014778,18.622212,0.10193581,-0.08387587,-0.26191965,19.738716,0.97075,-0.3969229,0.24798338,1.0635018,1.3566328,0,-0.56145264,46.920863,-0.000261462,-0.45270019,0.5145,0.5032,0.3793,0.3866,0.3714,3.98,0.64,0.57,1.021270867,-0.1352,0,-0.833333333,3.118047822,-0.404761905,1.743143354,-0.404761905,1.983777747,-0.408730159,2.189607805
08-02-23,102.04,102.6699,98.775,100.05,75878304,-0.020380603,-0.00068577,-4.850214,53.113096,-0.033075727,4.2376661,-0.43034287,0.004079544,14.526099,0.078159854,-0.10057063,-0.27567745,17.691521,0.76725,-0.40908957,0.22280616,1.0799651,1.3585424,0,-0.56145264,38.684816,-0.000268033,-0.46374159,0.5121,0.5025,0.394,0.3985,0.3773,3.63,0.69,1.57,1.044261861,-0.1181,0,0.833333333,1.178511302,-0.404761905,1.743143354,-0.404761905,1.983777747,-0.408730159,2.189607805
